""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"gene"	"count"	"sca.t"	"sca.P.Value"	"sca.adj.pval"	"name"
"ENSP00000307513.5"	0.083982193202261	-0.00291516807486715	0.687129095478057	0.496185556680115	0.843202305729489	-5.79254859471418	"ENSP00000307513.5"	1	0.683052644166323	0.4986955712574	0.843114316246815	"MRC2"
"ENSP00000387095.2"	0.0700561451083303	0.00502889628676419	0.682726449101828	0.498932646634966	0.846413802596088	-5.7954266292397	"ENSP00000387095.2"	2	0.682216332477487	0.499218276938193	0.843516563771208	"PREPL"
"ENSP00000377789.1"	-0.0294090681448861	0.0298632876616377	-0.651574068775345	0.518608541813603	0.852833464460414	-5.81527558484702	"ENSP00000377789.1"	19	-0.680516812625701	0.500281430534653	0.844831013251791	"SYNPO"
"ENSP00000364813.5"	0.0516010386875969	0.0466405059639219	0.695320013872027	0.491097127050034	0.841905757225321	-5.78714621387548	"ENSP00000364813.5"	1	0.679779551423265	0.500743020530805	0.845128676246292	"LSM2"
"ENSP00000262455.6"	0.0331721206633509	0.0161286856163477	0.676381758788992	0.502906242354744	0.847992189144598	-5.79954248084395	"ENSP00000262455.6"	3	0.677953374065756	0.501887377305173	0.845435499891233	"ERP44"
"ENSP00000469468.2"	0.0318100071391922	0.0329354652369757	0.668097502789486	0.508120637885922	0.849832484143478	-5.80486014999989	"ENSP00000469468.2"	4	0.677702430155025	0.502044741316817	0.845435499891233	"LSM4"
"ENSP00000288986.2"	0.0445289608231498	0.0750314521884755	0.698423927094514	0.489176531045214	0.841429085340258	-5.78508272440383	"ENSP00000288986.2"	1	0.67661289421802	0.502728291290517	0.845435499891233	"NCK1"
"ENSP00000363198.1"	0.0532930561417796	-0.0191842508593651	0.668471732443456	0.507884450273836	0.849832484143478	-5.80462130996475	"ENSP00000363198.1"	6	0.676455033566652	0.502827371865689	0.845435499891233	"NFS1"
"ENSP00000241337.4"	0.0775061937072684	-0.0157453235287082	0.670406463192199	0.506664339600881	0.849250496497957	-5.80338444997362	"ENSP00000241337.4"	54	0.676340883534189	0.502899024338834	0.845435499891233	"GSTM2"
"ENSP00000431780.1"	0.0945227021244955	-0.0632542570485768	0.675312622255371	0.503577537013606	0.847992189144598	-5.80023235085607	"ENSP00000431780.1"	2	0.676299525764468	0.502924986175687	0.845435499891233	"CD81"
"ENSP00000392316.1"	0.0847028766525563	0.00281323614072181	0.679635058513974	0.500866573490674	0.846784697876357	-5.79743671713435	"ENSP00000392316.1"	1	0.675858899262495	0.503201629811914	0.845435499891233	"IFRD2"
