""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"gene"	"count"	"sca.t"	"sca.P.Value"	"sca.adj.pval"	"name"
"ENSP00000318351.5"	0.911605026625475	-0.105348447764357	6.12848778600657	3.83568465382011e-07	5.2810149012393e-05	6.47842176403844	"ENSP00000318351.5"	1	6.11337075945861	3.90030467395452e-07	4.44334709394357e-05	"BCKDHB"
"ENSP00000397760.1"	0.463960827132598	-0.0175240297148424	6.04221677111604	5.03481151987325e-07	5.52337471180169e-05	6.22025840448524	"ENSP00000397760.1"	135	6.10033948421206	4.06455650998825e-07	4.45896903058712e-05	"NDUFS1"
"ENSP00000359346.1"	0.498621040530458	-0.0629962268770118	5.99881268306194	5.77351543700264e-07	5.87224465975257e-05	6.09032390143483	"ENSP00000359346.1"	12	6.08716109476879	4.23771080231506e-07	4.48289264159186e-05	"NDUFB8"
"ENSP00000425951.1"	0.651579541801648	0.00285597099139755	6.0168371459404	5.45441573411994e-07	5.76999264445116e-05	6.14428519249363	"ENSP00000425951.1"	4	6.05259303696094	4.72783516029653e-07	4.75195144536848e-05	"COX7A2"
"ENSP00000269980.2"	0.666630066412171	-0.081306082409666	5.98939654475396	5.94758068172104e-07	5.87224465975257e-05	6.0621324140919	"ENSP00000269980.2"	10	6.04696017333267	4.81291503582223e-07	4.75195144536848e-05	"BCKDHA"
"ENSP00000343885.5"	0.603336640765924	0.0105396199762031	5.9710260646717	6.30244181069329e-07	6.02188149783017e-05	6.00712915925137	"ENSP00000343885.5"	10	6.03557371236322	4.98960875767776e-07	4.7674906904005e-05	"PPA2"
"ENSP00000330737.2"	0.473411377296935	-0.0458644108245638	5.90350841752378	7.79868236468119e-07	6.99990823157142e-05	5.80494949277934	"ENSP00000330737.2"	17	5.99742918527591	5.63023189451756e-07	5.12387731032396e-05	"NDUFA12"
"ENSP00000452762.1"	0.657432761433876	-0.0286285645633911	5.93752445586961	7.0050466644717e-07	6.48404631880162e-05	5.90681343224504	"ENSP00000452762.1"	46	5.9930657965867	5.70857364080658e-07	5.12387731032396e-05	"ETFA"
"ENSP00000440543.2"	0.460460351066798	-0.00545638475543676	5.89175027460309	8.0934413424699e-07	7.02586776085146e-05	5.76973754967129	"ENSP00000440543.2"	83	5.96460654638759	6.24700102080304e-07	5.33802678044082e-05	"CS"
"ENSP00000252711.2"	0.519950691691821	-0.045626801454391	5.8836865115004	8.30200444395007e-07	7.02586776085146e-05	5.74558889741778	"ENSP00000252711.2"	31	5.96141170241061	6.31053306644778e-07	5.33802678044082e-05	"NDUFA10"
"ENSP00000322439.3"	0.398245255871184	-0.00457748555537995	5.84377206358453	9.41625046524684e-07	7.39154162449492e-05	5.62605581537944	"ENSP00000322439.3"	57	5.94457827925712	6.65611236992318e-07	5.33802678044082e-05	"TUFM"
"ENSP00000265462.4"	0.429052540480929	0.0254713258212511	5.84154221722975	9.48273402197188e-07	7.39154162449492e-05	5.61937805893899	"ENSP00000265462.4"	29	5.94401357246255	6.66802805119212e-07	5.33802678044082e-05	"PRDX5"
"ENSP00000351181.5"	0.627085058674757	-0.00591748936109607	5.83208235585785	9.7700416137603e-07	7.42022134870718e-05	5.59104859489568	"ENSP00000351181.5"	18	5.89377169830999	7.81823435609753e-07	6.09410793756866e-05	"GSTK1"
"ENSP00000215909.5"	-0.553874632005503	0.0127315537582275	-5.79950556851271	1.08276816820844e-06	7.82233979081314e-05	5.49349346279064	"ENSP00000215909.5"	48	-5.86393666517991	8.59309320065898e-07	6.13091241688148e-05	"LGALS1"
"ENSP00000362873.3"	0.458263493784815	0.031315129635699	5.75590518768055	1.24244147930554e-06	7.84162915862901e-05	5.36293786018082	"ENSP00000362873.3"	15	5.84856719400255	9.02176333951218e-07	6.13091241688148e-05	"NDUFA8"
"ENSP00000369176.3"	0.420717360166122	0.000195720027154459	5.74212028508415	1.29766439099094e-06	7.84162915862901e-05	5.32166457861196	"ENSP00000369176.3"	15	5.84733927023752	9.05691982832142e-07	6.13091241688148e-05	"NDUFB6"
"ENSP00000282541.6"	0.412312396444133	0.0489830854958406	5.74836458474772	1.27235201818294e-06	7.84162915862901e-05	5.34036032713021	"ENSP00000282541.6"	49	5.84373326383759	9.16095645680266e-07	6.13091241688148e-05	"GPD1L"
"ENSP00000377696.3"	0.387639444996277	-0.0255046351977249	5.74894883578721	1.27000903891929e-06	7.84162915862901e-05	5.34210962724313	"ENSP00000377696.3"	7	5.84313504959031	9.17833065714324e-07	6.13091241688148e-05	"NIT2"
"ENSP00000329002.7"	0.582041349534909	0.0783391781672184	5.8448482588817	9.38433031820622e-07	7.39154162449492e-05	5.62927871817197	"ENSP00000329002.7"	2	5.83989425843353	9.27302856496884e-07	6.13091241688148e-05	"HAX1"
"ENSP00000301587.4"	0.524515122889651	-0.0145703411582161	5.77508816878992	1.16947915405082e-06	7.84162915862901e-05	5.42037678140079	"ENSP00000301587.4"	66	5.83849048003068	9.31435039701778e-07	6.13091241688148e-05	"ATP5PD"
"ENSP00000414662.1"	0.751618899170148	-0.132472053839499	5.81090477505148	1.04451737027008e-06	7.73465112684992e-05	5.52762918264323	"ENSP00000414662.1"	2	5.8175107881052	9.95430224802332e-07	6.16252567321479e-05	"OGDH"
"ENSP00000419578.1"	0.478985767714166	0.00409613355914506	5.73322540176026	1.33459246564386e-06	7.84162915862901e-05	5.2950336604906	"ENSP00000419578.1"	12	5.81703005410877	9.9694701420233e-07	6.16252567321479e-05	"NDUFB4"
