source	target	category	correlation	pvalue	padj	abs	dir
Leg Strength (Nm)	ENSP00000258341.3	115	-0.4883720930232558	0.0007702396366418	0.0096222111885254	0.4883720930232558	-1.0
Leg Strength (Nm)	ENSP00000473172.1	115	-0.4793516560958421	0.0009942208539266	0.0116317777900766	0.4793516560958421	-1.0
Leg Strength (Nm)	ENSP00000432651.1	115	0.4741367159971811	0.0011487018425465	0.0129461880109728	0.4741367159971811	1.0
Leg Strength (Nm)	ENSP00000164139.3	115	0.4687808315715293	0.0013292585317423	0.0144230809921088	0.4687808315715293	1.0
Leg Strength (Nm)	ENSP00000359146.4	115	-0.4638477801268499	0.0015174341251801	0.015906127870038	0.4638477801268499	-1.0
Leg Strength (Nm)	ENSP00000317714.3	115	0.4615926708949965	0.0016110665839573	0.0166243067855753	0.4615926708949965	1.0
Leg Strength (Nm)	ENSP00000297373.2	115	0.4587737843551797	0.0017352887936137	0.0175601543778907	0.4587737843551797	1.0
Anterior Thigh Volume (L)	ENSP00000453508.1	115	-0.6627565982404692	3.581320492702812e-05	0.0009614904797974	0.6627565982404692	-1.0
Anterior Thigh Volume (L)	ENSP00000225614.1	115	-0.656524926686217	4.4922235000204776e-05	0.0011407840803447	0.656524926686217	-1.0
Anterior Thigh Volume (L)	ENSP00000483655.1	115	0.6418621700879765	7.506725072582068e-05	0.0016796526781332	0.6418621700879765	1.0
Anterior Thigh Volume (L)	ENSP00000338413.6	115	-0.6374633431085044	8.711741083591829e-05	0.0018800955520005	0.6374633431085044	-1.0
Anterior Thigh Volume (L)	ENSP00000255416.4	115	0.623900293255132	0.0001359282492919	0.0026280008077814	0.623900293255132	1.0
Anterior Thigh Volume (L)	ENSP00000259038.2	115	0.6198680351906158	0.0001545346831146	0.0028935777607214	0.6198680351906158	1.0
Anterior Thigh Volume (L)	ENSP00000349541.4	115	-0.5949413489736071	0.000328945813855	0.005102141235961	0.5949413489736071	-1.0
Anterior Thigh Volume (L)	ENSP00000424940.3	115	0.5806451612903226	0.0006156130905792	0.0081453064328004	0.5806451612903226	1.0
Anterior Thigh Volume (L)	ENSP00000295598.5	115	0.5751466275659824	0.0005743087281034	0.007736375551519	0.5751466275659824	1.0
Anterior Thigh Volume (L)	ENSP00000334724.6	115	0.5678152492668622	0.0006997518495775	0.0089616360132863	0.5678152492668622	1.0
Anterior Thigh Volume (L)	ENSP00000366117.2	115	0.5656158357771262	0.0007418163366588	0.0093633012777705	0.5656158357771262	1.0
Anterior Thigh Volume (L)	ENSP00000301286.3	115	-0.5612170087976539	0.0008326752049209	0.0102002693036874	0.5612170087976539	-1.0
Anterior Thigh Volume (L)	ENSP00000419191.1	115	0.5524193548387096	0.0010441865412436	0.0120687882551406	0.5524193548387096	1.0
Anterior Thigh Volume (L)	ENSP00000253039.4	115	-0.5494868035190615	0.0011244758736298	0.0127496192349362	0.5494868035190615	-1.0
Anterior Thigh Volume (L)	ENSP00000357861.5	115	-0.5491202346041055	0.0011348829396898	0.0128353007546157	0.5491202346041055	-1.0
Anterior Thigh Volume (L)	ENSP00000252487.4	115	0.533724340175953	0.0016556347269207	0.0169680694238773	0.533724340175953	1.0
Anterior Thigh Volume (L)	ENSP00000360798.3	115	-0.5216275659824047	0.0022004852598448	0.0209162917840088	0.5216275659824047	-1.0
Anterior Thigh Volume (L)	ENSP00000254878.3	115	0.5197947214076246	0.0022953369267007	0.0215796246620606	0.5197947214076246	1.0
Anterior Thigh Volume (L)	ENSP00000258341.3	115	-0.5172287390029325	0.0024340856648766	0.0225295822668186	0.5172287390029325	-1.0
Anterior Thigh Volume (L)	ENSP00000476028.1	115	0.5125	0.0032010509906605	0.0275369048043577	0.5125	1.0
Leg Strength (Nm)	ENSG00000152413	115	0.5884425651867513	2.6572808558302976e-05	0.0007669104944456	0.5884425651867513	1.0
Leg Strength (Nm)	ENSG00000185909	115	-0.5758985200845665	4.30787841615643e-05	0.0011047964104615	0.5758985200845665	-1.0
Leg Strength (Nm)	ENSG00000131067	115	0.570401691331924	5.290919253082183e-05	0.0012903189382236	0.570401691331924	1.0
Leg Strength (Nm)	ENSG00000127418	115	-0.5663143058491895	6.150149281383372e-05	0.0014453322704042	0.5663143058491895	-1.0
Leg Strength (Nm)	ENSG00000105835	115	0.5307963354474983	0.0002100295809603	0.0036421527772961	0.5307963354474983	1.0
Leg Strength (Nm)	ENSG00000150687	115	0.5268498942917548	0.0002387522651082	0.004009789149331	0.5268498942917548	1.0
Leg Strength (Nm)	ENSG00000004468	115	0.5231853417899929	0.0002685531152391	0.0043796568559123	0.5231853417899929	1.0
Leg Strength (Nm)	ENSG00000092964	115	-0.5172656800563777	0.000323841705317	0.0050397418794028	0.5172656800563777	-1.0
Leg Strength (Nm)	ENSG00000198729	115	-0.5106412966878083	0.000397713388746	0.0058767626669223	0.5106412966878083	-1.0
Leg Strength (Nm)	ENSG00000185800	115	-0.508386187455955	0.0004261244213722	0.0061876701114541	0.508386187455955	-1.0
Anterior Thigh Volume (L)	ENSG00000137267	115	-0.7038123167155426	6.985742529438538e-06	0.0002796538030927	0.7038123167155426	-1.0
Anterior Thigh Volume (L)	ENSG00000127418	115	-0.6400293255131965	7.989358631652908e-05	0.0017611148369844	0.6400293255131965	-1.0
Anterior Thigh Volume (L)	ENSG00000174684	115	-0.6107038123167156	0.0002055168112397	0.0035843759066582	0.6107038123167156	-1.0
Anterior Thigh Volume (L)	ENSG00000166289	115	-0.6074046920821115	0.0002272451512985	0.003864404699608	0.6074046920821115	-1.0
Anterior Thigh Volume (L)	ENSG00000196230	115	-0.6055718475073314	0.0002401793430639	0.0040290647431523	0.6055718475073314	-1.0
Anterior Thigh Volume (L)	ENSG00000198729	115	-0.6048387096774194	0.0002455336187202	0.0040954860375126	0.6048387096774194	-1.0
Anterior Thigh Volume (L)	ENSG00000104872	115	-0.594208211143695	0.000336022868721	0.0051826976352943	0.594208211143695	-1.0
Anterior Thigh Volume (L)	ENSG00000167676	115	-0.591642228739003	0.0003618679247344	0.0054771593452108	0.591642228739003	-1.0
Anterior Thigh Volume (L)	ENSG00000174282	115	-0.5850439882697948	0.0004365913610476	0.0063057181666864	0.5850439882697948	-1.0
Anterior Thigh Volume (L)	ENSG00000145945	115	-0.5747800586510264	0.0005800736681553	0.0077922305590035	0.5747800586510264	-1.0
